PSIS_REFYEAR_D_CODE,PSIS_PROVOFSTUDY_CODE,PSIS_PRGCODECIP6_D_CODE,PSIS_PCSCE_D_CODE,PSIS_GENDER_CODE,_COUNT_
2005,10,27.0599,86,1,0
2005,10,27.0599,86,2,0
2005,10,27.9999,,,0
2005,10,27.9999,,1,0
2005,10,27.9999,,2,0
2005,10,27.9999,66,,0
2005,10,27.9999,66,1,0
2005,10,27.9999,66,2,0
2005,10,27.9999,76,,0
2005,10,27.9999,76,1,0
2005,10,27.9999,76,2,0
2005,10,27.9999,86,,0
2005,10,27.9999,86,1,0
2005,10,27.9999,86,2,0
2005,10,52.1302,,,0
2005,10,52.1302,,1,0
2005,10,52.1302,,2,0
2005,10,52.1302,66,,0
2005,10,52.1302,66,1,0
2005,10,52.1302,66,2,0
2005,10,52.1302,76,,0
2005,10,52.1302,76,1,0
2005,10,52.1302,76,2,0
2005,10,52.1302,86,,0
2005,10,52.1302,86,1,0
2005,10,52.1302,86,2,0
2005,12,,,,35
2005,12,,,1,15
2005,12,,,2,20
2005,12,,66,,15
2005,12,,66,1,5
2005,12,,66,2,10
2005,12,,76,,15
2005,12,,76,1,5
2005,12,,76,2,10
2005,12,,86,,5
2005,12,,86,1,5
2005,12,,86,2,0
2005,12,26.1102,,,0
2005,12,26.1102,,1,0
2005,12,26.1102,,2,0
2005,12,26.1102,66,,0
2005,12,26.1102,66,1,0
2005,12,26.1102,66,2,0
2005,12,26.1102,76,,0
